"","How.many.months.have.you.lived.in.New.York.City.","How.many.siblings..brothers.sisters..do.you.have.","How.many.times.do.you.play.sport.each.week.","How.many.miles.do.you.travel.from.home.to.TC.","Estimate.how.many.of.your.friends.own.Android.phones","How.many.movies.have.you.seen.in.the.cinema.this.year.","How.many.pets.have.you.owned.in.your.life.","How.many.people.have.you.met.for.the.first.time.this.year.","How.many.time.do.you.cook.for.yourself.each.week.","How.many.classes.are.you.taking.this.semester.","How.many.states.have.you.visited.in.the.US.","lattitude","longitude","fit.cluster"
"1",1.15573775838371,0.655610068107186,1.07729797839598,-0.435283757905739,-0.224673297460176,-0.62467309770482,-0.597446566068514,-0.209078808247984,-0.221497601390974,-1.63958614009631,2.22730976666965,34.0522,118.2437,2
"2",0.0133835900298449,0.655610068107186,-1.10641413997424,-0.435671723693464,-0.252403754829316,-0.865859621915176,-0.082406422906002,-0.222800591292415,1.88800336423735,-0.250106360353673,-0.651634991687525,1.29027,103.851959,2
"3",-0.409710546397512,-0.655610068107186,1.07729797839598,-0.434895792118015,-0.224673297460176,0.581259523346956,-1.11248670923103,-0.161052567592478,-0.485185222094514,-0.250106360353673,0.00267063521183409,22.5431,114.0579,3
"4",0.64802479467088,0.655610068107186,1.80520201785272,-0.432567997391669,-0.238538526144746,-0.62467309770482,0.43263372025651,-0.174774350636909,1.09694050212673,-0.250106360353673,0.526115136731321,41.8,87.6,2
"5",0.0556930036725806,1.96683020432156,0.349393938939235,-0.435283757905739,-0.252403754829316,-0.745266359809998,0.43263372025651,-0.195357025203554,-0.485185222094514,1.13937341938896,0.264392885971578,35.221996,-101.831299,2
"6",-0.0289258236128908,-0.655610068107186,0.349393938939235,-0.435594130535919,-0.155347154037326,-0.14230004928411,0.947673863419022,-0.215939699770199,0.0421900193125665,-0.250106360353673,-0.651634991687525,31,121,3
"7",0.0980024173153163,-0.655610068107186,0.349393938939235,-0.435594130535919,-0.224673297460176,0.340072999136601,-0.597446566068514,-0.215939699770199,-0.485185222094514,1.13937341938896,-0.128190490168038,40,116,3
"8",-0.536638787325719,0.655610068107186,-0.378510100517505,-0.424032750061733,-0.0166948671916252,1.54600562018838,-0.597446566068514,-0.209078808247984,1.36062812283027,-1.63958614009631,0.918698512870936,31.2,121.5,2
"9",-0.452019960040248,0.655610068107186,1.80520201785272,-0.435555333957146,-0.266268983513887,-0.504079835599643,0.43263372025651,-0.219370145531307,-1.27624808420514,-1.63958614009631,0.264392885971578,37.33548,-121.893028,2
"10",0.986500103812766,0.655610068107186,-0.378510100517505,-0.430240202665323,0,0.340072999136601,0.43263372025651,-0.174774350636909,-1.0125604635016,1.13937341938896,-0.520773866307653,NA,NA,2
